Time (s),GSR Value
38.834633111953735,1771
38.937735080718994,1507
39.07089710235596,1661
39.0709171295166,1505
39.174286127090454,1515
39.27741813659668,1705
39.38122797012329,1736
39.516600131988525,1565
39.649493932724,1496
39.78299808502197,1731
39.922590255737305,1671
39.922643184661865,1488
40.02583909034729,1514
40.13003206253052,1777
40.234477043151855,1494
40.37552809715271,1646
40.478941202163696,1500
40.58320927619934,1561
40.71886110305786,1807
40.848682165145874,1679
40.84870219230652,1476
40.98398518562317,1555
41.08727693557739,1731
41.1910502910614,1655
41.33328723907471,1488
41.436413049697876,1520
41.53987717628479,1791
41.66481399536133,1491
41.76881718635559,1651
41.89981007575989,1499
41.89982891082764,1556
42.03350210189819,1712
42.16633105278015,1661
42.29976224899292,1537
42.43273711204529,1552
42.43278622627258,1703
42.56648015975952,1543
42.69958209991455,1595
42.80362510681152,1543
42.9074809551239,1526
43.01114201545715,1646
43.11470818519592,1637
43.25531625747681,1560
43.255335092544556,1520
43.35937023162842,1728
43.46337294578552,1502
43.56769299507141,1679
43.69985103607178,1555
43.83517622947693,1518
43.9660542011261,1733
44.0701801776886,1671
44.20401906967163,1499
44.204039096832275,1562
44.33735489845276,1718
44.46519207954407,1556
44.56830406188965,1581
44.671854972839355,1544
44.77901315689087,1529
44.88368606567383,1645
44.987043142318726,1635
45.12088108062744,1517
45.12090015411377,1540
45.224104166030884,1767
45.377737283706665,1568
45.52469325065613,1611
45.52471208572388,1552
45.733410120010376,1620
45.83781290054321,1651
45.97360825538635,1645
45.97362804412842,1551
46.09856820106506,1526
46.20239520072937,1719
46.30610513687134,1509
46.44034123420715,1614
46.54362416267395,1536
46.64727807044983,1539
46.78288722038269,1647
46.782907009124756,1640
46.91641306877136,1612
47.04949593544006,1521
47.182421922683716,1775
47.182456970214844,1530
47.28582811355591,1622
47.38951802253723,1568
47.49319911003113,1596
47.59729814529419,1653
47.701797008514404,1636
47.80532503128052,1513
47.94494104385376,1530
48.08354616165161,1709
48.21610116958618,1523
48.21612095832825,1648
48.352060079574585,1532
48.48300004005432,1552
48.615952014923096,1830
48.72007489204407,1671
48.82445216178894,1551
48.9726939201355,1573
48.972721099853516,1699
49.075929164886475,1512
49.1800103187561,1672
49.283698081970215,1521
49.3879451751709,1568
49.492441177368164,1649
49.59594011306763,1640
49.70014405250549,1521
49.80378007888794,1538
49.907334089279175,1714
50.03845810890198,1525
50.17264914512634,1625
50.17267394065857,1659
50.29921817779541,1572
50.43290114402771,1728
50.56675910949707,1553
50.69962000846863,1624
50.69966912269592,1565
50.83359718322754,1533
50.96653199195862,1652
51.07076025009155,1585
51.17466902732849,1567
51.17469096183777,1546
51.279135942459106,1607
51.383610010147095,1548
51.48802614212036,1615
51.59234118461609,1545
51.73276424407959,1561
51.86618423461914,1754
51.99943423271179,1636
51.99945425987244,1609
52.134986877441406,1572
52.26602911949158,1636
52.40067911148071,1584
52.40069913864136,1568
52.538007974624634,1535
52.665963888168335,1589
52.76998496055603,1605
52.873828172683716,1570
53.01769304275513,1540
53.01771306991577,1556
53.14900302886963,1601
